,Amboseli,Masai_Mara,Nairobi,Samburu,Tsavo,Sibiloi,Monduli,Maswa,Mkomazi_W,Mkomazi_E,Burigi,Ikiri-Rungwa,Aruba_Dam
Masai_Mara,0.077085265,,,,,,,,,,,,
Nairobi,0.022488417,0.09586164,,,,,,,,,,,
Samburu,0.312250825,0.273648546,0.3149759,,,,,,,,,,
Tsavo,0.530207077,0.490318742,0.519721294,0.486850976,,,,,,,,,
Sibiloi,0.353366371,0.290473506,0.347944891,0.079868514,0.519496243,,,,,,,,
Monduli,0.005554321,0.070657981,0.021344868,0.275767866,0.475010052,0.299767997,,,,,,,
Maswa,0.151889641,0.058617935,0.163424176,0.319723203,0.508448907,0.344225053,0.117757135,,,,,,
Mkomazi_W,0.251701367,0.260080318,0.268677737,0.2914921,0.213631617,0.299991522,0.261815011,0.321931292,,,,,
Mkomazi_E,0.266071059,0.275057571,0.276667101,0.297792172,0.19427116,0.305506595,0.27058483,0.325766374,0.015646304,,,,
Burigi,-0.003876145,0.033670137,0.032360698,0.315810759,0.560230208,0.39634301,-0.009290762,0.14818247,0.190976153,0.24437574,,,
Ikiri-Rungwa,0.249360973,0.267878659,0.265657658,0.319681578,0.511229804,0.349357506,0.249903401,0.315755266,0.268760985,0.297558933,0.17591312,,
Aruba_Dam,0.532479612,0.48940834,0.521712116,0.487815838,-0.003422419,0.522096045,0.475473369,0.5099469,0.207442175,0.191234248,0.565461114,0.513332001,
Ugalla,0.131689371,-0.01800648,0.159577284,0.310816681,0.551969395,0.394589969,0.098683773,-0.022435695,0.20851511,0.264412735,0,0.204488049,0.557777844
